epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,6891.5,0.91391,0.47604,1.01999,0.89849,0.85457,0.90139,0.56893,1.2569,0.58906,1.28005,0.000148625,0.000148625,0.000148625
91,6969.12,0.93457,0.49346,1.02726,0.8925,0.85457,0.88682,0.57158,1.24078,0.58362,1.25352,0.00013625,0.00013625,0.00013625
92,7045.62,0.90618,0.47593,1.01363,0.89578,0.8467,0.8779,0.55817,1.26894,0.5962,1.24941,0.000123875,0.000123875,0.000123875
93,7121.84,0.8894,0.46754,1.00867,0.91252,0.84543,0.89231,0.5647,1.23902,0.57431,1.25362,0.0001115,0.0001115,0.0001115
94,7198.03,0.88617,0.46476,1.00318,0.8679,0.86714,0.88428,0.56493,1.22743,0.5765,1.24499,9.9125e-05,9.9125e-05,9.9125e-05
95,7274.23,0.86786,0.45691,0.99166,0.88934,0.84019,0.8794,0.55212,1.27747,0.583,1.28917,8.675e-05,8.675e-05,8.675e-05
96,7350.45,0.87488,0.46114,0.99671,0.90752,0.8689,0.90177,0.56819,1.24144,0.56996,1.25935,7.4375e-05,7.4375e-05,7.4375e-05
97,7426.72,0.86597,0.45521,0.99256,0.9324,0.84468,0.9006,0.57447,1.2401,0.56826,1.26302,6.2e-05,6.2e-05,6.2e-05
98,7503.03,0.86248,0.45408,0.99164,0.89423,0.84674,0.89025,0.55432,1.27017,0.57412,1.27714,4.9625e-05,4.9625e-05,4.9625e-05
99,7579.28,0.86112,0.45647,0.99721,0.86117,0.88986,0.89717,0.56363,1.26295,0.5774,1.27938,3.725e-05,3.725e-05,3.725e-05
100,7655.45,0.8491,0.45251,0.99,0.85969,0.89113,0.8956,0.56622,1.25531,0.57509,1.2804,2.4875e-05,2.4875e-05,2.4875e-05
